
Begin Step 0, Time: 0.0909091, Systemstep: 0

Begin Step 1, Time: 0.0970015, Systemstep: 0.00609242

Begin Step 2, Time: 0.103094, Systemstep: 0.00609242

Begin Step 3, Time: 0.109186, Systemstep: 0.00609242

Begin Step 4, Time: 0.115279, Systemstep: 0.00609242

Begin Step 5, Time: 0.121371, Systemstep: 0.00609242

Begin Step 6, Time: 0.127464, Systemstep: 0.00609242

Begin Step 7, Time: 0.133556, Systemstep: 0.00609242

Begin Step 8, Time: 0.139648, Systemstep: 0.00609242

Begin Step 9, Time: 0.145741, Systemstep: 0.00609242

Begin Step 10, Time: 0.151833, Systemstep: 0.00609242

Begin Step 11, Time: 0.157926, Systemstep: 0.00609242

Begin Step 12, Time: 0.164018, Systemstep: 0.00609242

Begin Step 13, Time: 0.170111, Systemstep: 0.00609242

Begin Step 14, Time: 0.176203, Systemstep: 0.00609242

Begin Step 15, Time: 0.182295, Systemstep: 0.00609242

Begin Step 16, Time: 0.188388, Systemstep: 0.00609242

Begin Step 17, Time: 0.19448, Systemstep: 0.00609242

Begin Step 18, Time: 0.200573, Systemstep: 0.00609242

Begin Step 19, Time: 0.206665, Systemstep: 0.00609242

Begin Step 20, Time: 0.212757, Systemstep: 0.00609242

Begin Step 21, Time: 0.21885, Systemstep: 0.00609242

Begin Step 22, Time: 0.224942, Systemstep: 0.00609242

Begin Step 23, Time: 0.231035, Systemstep: 0.00609242

Begin Step 24, Time: 0.237127, Systemstep: 0.00609242

Begin Step 25, Time: 0.24322, Systemstep: 0.00609242

Begin Step 26, Time: 0.249312, Systemstep: 0.00609242

Begin Step 27, Time: 0.255404, Systemstep: 0.00609242

Begin Step 28, Time: 0.261497, Systemstep: 0.00609242

Begin Step 29, Time: 0.267589, Systemstep: 0.00609242

Begin Step 30, Time: 0.273682, Systemstep: 0.00609242

Begin Step 31, Time: 0.279774, Systemstep: 0.00609242

Begin Step 32, Time: 0.285866, Systemstep: 0.00609242

Begin Step 33, Time: 0.291959, Systemstep: 0.00609242

Begin Step 34, Time: 0.298051, Systemstep: 0.00609242

Begin Step 35, Time: 0.304144, Systemstep: 0.00609242

Begin Step 36, Time: 0.310236, Systemstep: 0.00609242

Begin Step 37, Time: 0.316329, Systemstep: 0.00609242

Begin Step 38, Time: 0.322421, Systemstep: 0.00609242

Begin Step 39, Time: 0.328513, Systemstep: 0.00609242

Begin Step 40, Time: 0.334606, Systemstep: 0.00609242

Begin Step 41, Time: 0.340698, Systemstep: 0.00609242

Begin Step 42, Time: 0.346791, Systemstep: 0.00609242

Begin Step 43, Time: 0.352883, Systemstep: 0.00609242

Begin Step 44, Time: 0.358975, Systemstep: 0.00609242

Begin Step 45, Time: 0.365068, Systemstep: 0.00609242

Begin Step 46, Time: 0.37116, Systemstep: 0.00609242

Begin Step 47, Time: 0.377253, Systemstep: 0.00609242

Begin Step 48, Time: 0.383345, Systemstep: 0.00609242

Begin Step 49, Time: 0.389438, Systemstep: 0.00609242

Begin Step 50, Time: 0.39553, Systemstep: 0.00609242

Begin Step 51, Time: 0.401622, Systemstep: 0.00609242

Begin Step 52, Time: 0.407715, Systemstep: 0.00609242

Begin Step 53, Time: 0.413807, Systemstep: 0.00609242

Begin Step 54, Time: 0.4199, Systemstep: 0.00609242

Begin Step 55, Time: 0.425992, Systemstep: 0.00609242

Begin Step 56, Time: 0.432085, Systemstep: 0.00609242

Begin Step 57, Time: 0.438177, Systemstep: 0.00609242

Begin Step 58, Time: 0.444269, Systemstep: 0.00609242

